image_name,source_name,source_width,source_height,final_width,final_height,final_format,quality
indoor_001.webp,IMG-20260704-WA0011.jpg,788,1400,788,1400,WEBP,90
indoor_002.webp,IMG-20260704-WA0012.jpg,900,1600,900,1600,WEBP,90
indoor_003.webp,IMG-20260704-WA0013.jpg,900,1600,900,1600,WEBP,90
indoor_004.webp,IMG-20260704-WA0014.jpg,900,1600,900,1600,WEBP,90
indoor_005.webp,PXL_20260704_182551712.jpg,3472,4624,1201,1600,WEBP,90
indoor_006.webp,PXL_20260704_182601207.jpg,3472,4624,1201,1600,WEBP,90
indoor_007.webp,PXL_20260704_182606220.jpg,3472,4624,1201,1600,WEBP,90
indoor_008.webp,PXL_20260704_182613250.jpg,3472,4624,1201,1600,WEBP,90
indoor_009.webp,PXL_20260704_182619583.jpg,3472,4624,1201,1600,WEBP,90
indoor_010.webp,PXL_20260704_182628504.jpg,3472,4624,1201,1600,WEBP,90
indoor_011.webp,PXL_20260704_182632646.jpg,3472,4624,1201,1600,WEBP,90
indoor_012.webp,PXL_20260704_182640089.jpg,3472,4624,1201,1600,WEBP,90
indoor_013.webp,PXL_20260704_182649890.jpg,3472,4624,1201,1600,WEBP,90
indoor_014.webp,PXL_20260704_182654621.jpg,3472,4624,1201,1600,WEBP,90
indoor_015.webp,PXL_20260704_182703725.jpg,3472,4624,1201,1600,WEBP,90
indoor_016.webp,PXL_20260704_182743235.jpg,3472,4624,1201,1600,WEBP,90
indoor_017.webp,PXL_20260704_182757917.jpg,3472,4624,1201,1600,WEBP,90
indoor_018.webp,PXL_20260704_182817954.jpg,3472,4624,1201,1600,WEBP,90
indoor_019.webp,PXL_20260704_182825908.jpg,3472,4624,1201,1600,WEBP,90
indoor_020.webp,PXL_20260704_182832448.jpg,3472,4624,1201,1600,WEBP,90
indoor_021.webp,PXL_20260704_182839801.jpg,3472,4624,1201,1600,WEBP,90
indoor_022.webp,PXL_20260704_182848685.jpg,3472,4624,1201,1600,WEBP,90
indoor_023.webp,PXL_20260704_182928317.jpg,3472,4624,1201,1600,WEBP,90
indoor_024.webp,PXL_20260704_182933626.jpg,3472,4624,1201,1600,WEBP,90
indoor_025.webp,PXL_20260704_182941625.jpg,3472,4624,1201,1600,WEBP,90
indoor_026.webp,PXL_20260704_182958935.jpg,3472,4624,1201,1600,WEBP,90
indoor_027.webp,PXL_20260704_183017256.jpg,3472,4624,1201,1600,WEBP,90
indoor_028.webp,PXL_20260704_183942787.jpg,3472,4624,1201,1600,WEBP,90
indoor_029.webp,PXL_20260704_183953426.jpg,3472,4624,1201,1600,WEBP,90
indoor_030.webp,PXL_20260704_184012083.jpg,3472,4624,1201,1600,WEBP,90
