mode,failure_cause,count
depth_only,berhasil,15
depth_only,kesalahan_depth,13
depth_only,scene_atau_anotasi_ambigu,10
depth_only,keterbatasan_depth_only_posisi_grid,6
gemma_depth,berhasil,15
gemma_depth,kesalahan_model_objek,10
gemma_depth,kesalahan_model_objek+kesalahan_depth,9
gemma_depth,scene_atau_anotasi_ambigu,5
gemma_depth,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,2
gemma_depth,kesalahan_depth,2
gemma_depth,kesalahan_model_posisi,1
gemma_depth_prompted,berhasil,11
gemma_depth_prompted,kesalahan_model_prompted_semantik_objek,11
gemma_depth_prompted,kesalahan_model_objek+kesalahan_depth,10
gemma_depth_prompted,scene_atau_anotasi_ambigu,7
gemma_depth_prompted,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,2
gemma_depth_prompted,kesalahan_model_posisi,1
gemma_depth_prompted,kesalahan_model_objek+kesalahan_model_posisi,1
gemma_depth_prompted,kesalahan_depth,1
gemma_only,kesalahan_model_objek+kesalahan_model_posisi,12
gemma_only,berhasil,11
gemma_only,kesalahan_model_objek,9
gemma_only,kesalahan_model_posisi,6
gemma_only,scene_atau_anotasi_ambigu,6
