mode,failure_cause,count
depth_only,berhasil,22
depth_only,kesalahan_depth,12
depth_only,keterbatasan_depth_only_posisi_grid,7
depth_only,keterbatasan_depth_only_posisi_grid+kesalahan_depth,1
depth_only,scene_ambigu+keterbatasan_depth_only_posisi_grid,1
depth_only,scene_ambigu+keterbatasan_depth_only_posisi_grid+kesalahan_depth,1
gemma_depth,berhasil,14
gemma_depth,kesalahan_depth,5
gemma_depth,kesalahan_model_objek,13
gemma_depth,kesalahan_model_objek+kesalahan_depth,7
gemma_depth,kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,1
gemma_depth,kesalahan_model_posisi,2
gemma_depth,scene_ambigu+kesalahan_model_objek,1
gemma_depth,scene_ambigu+kesalahan_model_objek+kesalahan_model_posisi+kesalahan_depth,1
gemma_depth_prompted,berhasil,10
gemma_depth_prompted,kesalahan_depth,4
gemma_depth_prompted,kesalahan_model_posisi,2
gemma_depth_prompted,kesalahan_model_prompted_semantik_objek,15
gemma_depth_prompted,kesalahan_model_prompted_semantik_objek+kesalahan_depth,8
gemma_depth_prompted,kesalahan_model_prompted_semantik_objek+kesalahan_model_posisi,1
gemma_depth_prompted,kesalahan_model_prompted_semantik_objek+kesalahan_model_posisi+kesalahan_depth,1
gemma_depth_prompted,scene_ambigu+kesalahan_model_prompted_semantik_objek,2
gemma_depth_prompted,scene_ambigu+kesalahan_model_prompted_semantik_objek+kesalahan_model_posisi+kesalahan_depth,1
gemma_only,berhasil,11
gemma_only,kesalahan_model_objek,10
gemma_only,kesalahan_model_objek+kesalahan_model_posisi,11
gemma_only,kesalahan_model_posisi,9
gemma_only,scene_ambigu+kesalahan_model_objek+kesalahan_model_posisi,2
gemma_only,scene_ambigu+kesalahan_model_posisi,1
